,Player,Age,Team,Shot Type,FGM,FGA,FG%,X Coordinate,Y Coordinate
831,Jeremiah Robinson-Earl,23,NOP,Paint (-Rest),4,10,40.0,-10,50
832,Jeremy Sochan,21,SAS,Paint (-Rest),63,181,34.8,-10,50
833,Jericho Sims,25,NYK,Paint (-Rest),1,7,14.3,-10,50
834,Jermaine Samuels Jr.,25,HOU,Paint (-Rest),0,2,0.0,-10,50
835,Jerome Robinson,27,GSW,Paint (-Rest),0,4,0.0,-10,50
836,Jett Howard,20,ORL,Paint (-Rest),1,1,100.0,-10,50
837,Jevon Carter,28,CHI,Paint (-Rest),20,46,43.5,-10,50
838,Jimmy Butler,34,MIA,Paint (-Rest),107,225,47.6,-10,50
839,Jock Landale,28,HOU,Paint (-Rest),27,48,56.3,-10,50
840,Joe Harris,32,DET,Paint (-Rest),2,4,50.0,-10,50
841,Joe Ingles,36,ORL,Paint (-Rest),12,37,32.4,-10,50
842,Joel Embiid,30,PHI,Paint (-Rest),101,211,47.9,-10,50
843,John Collins,26,UTA,Paint (-Rest),75,168,44.6,-10,50
844,John Konchar,28,MEM,Paint (-Rest),3,9,33.3,-10,50
845,Johnny Davis,22,WAS,Paint (-Rest),10,33,30.3,-10,50
846,Johnny Juzang,23,UTA,Paint (-Rest),10,20,50.0,-10,50
847,Jonas Valanciunas,32,NOP,Paint (-Rest),103,194,53.1,-10,50
848,Jonathan Isaac,26,ORL,Paint (-Rest),3,10,30.0,-10,50
849,Jonathan Kuminga,21,GSW,Paint (-Rest),114,255,44.7,-10,50
850,Jontay Porter,24,DET,Paint (-Rest),4,12,33.3,-10,50
851,Jordan Clarkson,32,UTA,Paint (-Rest),131,284,46.1,-10,50
852,Jordan Ford,26,SAC,Paint (-Rest),0,0,0.0,-10,50
853,Jordan Goodwin,25,MEM,Paint (-Rest),27,84,32.1,-10,50
854,Jordan Hawkins,22,NOP,Paint (-Rest),16,44,36.4,-10,50
855,Jordan McLaughlin,28,MIN,Paint (-Rest),4,14,28.6,-10,50
856,Jordan Miller,24,LAC,Paint (-Rest),0,0,0.0,-10,50
857,Jordan Nwora,25,TOR,Paint (-Rest),23,51,45.1,-10,50
858,Jordan Poole,25,WAS,Paint (-Rest),80,208,38.5,-10,50
859,Jordan Walsh,20,BOS,Paint (-Rest),0,0,0.0,-10,50
860,Jose Alvarado,26,NOP,Paint (-Rest),24,65,36.9,-10,50
861,Josh Giddey,21,OKC,Paint (-Rest),94,224,42.0,-10,50
862,Josh Green,23,DAL,Paint (-Rest),14,50,28.0,-10,50
863,Josh Hart,29,NYK,Paint (-Rest),47,129,36.4,-10,50
864,Josh Minott,21,MIN,Paint (-Rest),3,8,37.5,-10,50
865,Josh Okogie,25,PHX,Paint (-Rest),11,26,42.3,-10,50
866,Josh Richardson,30,MIA,Paint (-Rest),34,61,55.7,-10,50
867,Jrue Holiday,34,BOS,Paint (-Rest),68,142,47.9,-10,50
868,Juan Toscano-Anderson,31,SAC,Paint (-Rest),0,2,0.0,-10,50
869,Jules Bernard,24,WAS,Paint (-Rest),3,7,42.9,-10,50
870,Julian Champagnie,23,SAS,Paint (-Rest),7,30,23.3,-10,50
871,Julian Phillips,20,CHI,Paint (-Rest),1,2,50.0,-10,50
872,Julian Strawther,22,DEN,Paint (-Rest),16,37,43.2,-10,50
873,Julius Randle,29,NYK,Paint (-Rest),101,234,43.2,-10,50
874,Justin Champagnie,23,WAS,Paint (-Rest),2,4,50.0,-10,50
875,Justin Holiday,35,DEN,Paint (-Rest),1,2,50.0,-10,50
876,Justin Minaya,25,POR,Paint (-Rest),0,4,0.0,-10,50
877,Jusuf Nurkic,29,PHX,Paint (-Rest),64,140,45.7,-10,50
878,KJ Martin,23,PHI,Paint (-Rest),11,27,40.7,-10,50
879,Kaiser Gates,27,NOP,Paint (-Rest),0,0,0.0,-10,50
880,Karl-Anthony Towns,28,MIN,Paint (-Rest),112,218,51.4,-10,50
881,Kawhi Leonard,33,LAC,Paint (-Rest),179,317,56.5,-10,50
882,Keegan Murray,23,SAC,Paint (-Rest),82,153,53.6,-10,50
883,Keita Bates-Diop,28,BKN,Paint (-Rest),9,22,40.9,-10,50
884,Keldon Johnson,24,SAS,Paint (-Rest),72,168,42.9,-10,50
885,Kelly Olynyk,33,TOR,Paint (-Rest),45,85,52.9,-10,50
886,Kelly Oubre Jr.,28,PHI,Paint (-Rest),62,174,35.6,-10,50
887,Kendall Brown,21,IND,Paint (-Rest),1,3,33.3,-10,50
888,Kenneth Lofton Jr.,21,UTA,Paint (-Rest),9,18,50.0,-10,50
889,Kenrich Williams,29,OKC,Paint (-Rest),10,26,38.5,-10,50
890,Kentavious Caldwell-Pope,31,DEN,Paint (-Rest),20,46,43.5,-10,50
891,Keon Ellis,24,SAC,Paint (-Rest),12,19,63.2,-10,50
892,Keon Johnson,22,BKN,Paint (-Rest),1,2,50.0,-10,50
893,Kessler Edwards,23,SAC,Paint (-Rest),2,6,33.3,-10,50
894,Kevin Durant,35,PHX,Paint (-Rest),164,327,50.2,-10,50
895,Kevin Huerter,25,SAC,Paint (-Rest),41,87,47.1,-10,50
896,Kevin Knox II,24,POR,Paint (-Rest),13,28,46.4,-10,50
897,Kevin Love,35,MIA,Paint (-Rest),26,42,61.9,-10,50
898,Kevon Looney,28,GSW,Paint (-Rest),27,65,41.5,-10,50
899,Keyontae Johnson,24,OKC,Paint (-Rest),1,4,25.0,-10,50
900,Keyonte George,20,UTA,Paint (-Rest),83,186,44.6,-10,50
901,Khris Middleton,32,MIL,Paint (-Rest),58,125,46.4,-10,50
902,Killian Hayes,22,DET,Paint (-Rest),42,98,42.9,-10,50
903,Kira Lewis Jr.,23,UTA,Paint (-Rest),10,20,50.0,-10,50
904,Klay Thompson,34,GSW,Paint (-Rest),49,119,41.2,-10,50
905,Kobe Brown,24,LAC,Paint (-Rest),3,12,25.0,-10,50
906,Kobe Bufkin,20,ATL,Paint (-Rest),8,16,50.0,-10,50
907,Kobi Simmons,26,TOR,Paint (-Rest),2,4,50.0,-10,50
908,Kris Dunn,30,UTA,Paint (-Rest),55,119,46.2,-10,50
909,Kris Murray,23,POR,Paint (-Rest),21,57,36.8,-10,50
910,Kristaps Porzingis,28,BOS,Paint (-Rest),89,174,51.1,-10,50
911,Kyle Anderson,30,MIN,Paint (-Rest),106,246,43.1,-10,50
912,Kyle Kuzma,28,WAS,Paint (-Rest),140,351,39.9,-10,50
913,Kyle Lowry,38,PHI,Paint (-Rest),24,52,46.2,-10,50
914,Kyrie Irving,32,DAL,Paint (-Rest),145,274,52.9,-10,50
915,LaMelo Ball,22,CHA,Paint (-Rest),44,92,47.8,-10,50
916,Lamar Stevens,26,MEM,Paint (-Rest),31,75,41.3,-10,50
917,Landry Shamet,27,WAS,Paint (-Rest),14,33,42.4,-10,50
918,Larry Nance Jr.,31,NOP,Paint (-Rest),22,49,44.9,-10,50
919,Lauri Markkanen,27,UTA,Paint (-Rest),84,186,45.2,-10,50
920,LeBron James,39,LAL,Paint (-Rest),81,194,41.8,-10,50
921,Leaky Black,25,CHA,Paint (-Rest),2,7,28.6,-10,50
922,Leonard Miller,20,MIN,Paint (-Rest),0,0,0.0,-10,50
923,Lester Quinones,23,GSW,Paint (-Rest),6,20,30.0,-10,50
924,Lindell Wigginton,26,MIL,Paint (-Rest),0,0,0.0,-10,50
925,Lindy Waters III,26,OKC,Paint (-Rest),2,3,66.7,-10,50
926,Lonnie Walker IV,25,BKN,Paint (-Rest),19,50,38.0,-10,50
927,Luguentz Dort,25,OKC,Paint (-Rest),24,56,42.9,-10,50
928,Luka Doncic,25,DAL,Paint (-Rest),185,338,54.7,-10,50
929,Luka Garza,25,MIN,Paint (-Rest),13,21,61.9,-10,50
930,Luka Samanic,24,UTA,Paint (-Rest),13,43,30.2,-10,50
931,Luke Kennard,28,MEM,Paint (-Rest),8,26,30.8,-10,50
932,Luke Kornet,28,BOS,Paint (-Rest),3,19,15.8,-10,50
933,Malachi Flynn,26,DET,Paint (-Rest),17,50,34.0,-10,50
934,Malaki Branham,21,SAS,Paint (-Rest),52,130,40.0,-10,50
935,Malcolm Brogdon,31,POR,Paint (-Rest),26,73,35.6,-10,50
936,Malik Beasley,27,MIL,Paint (-Rest),27,62,43.5,-10,50
937,Malik Monk,26,SAC,Paint (-Rest),78,174,44.8,-10,50
938,Malik Williams,25,TOR,Paint (-Rest),2,9,22.2,-10,50
939,Mamadi Diakite,27,NYK,Paint (-Rest),2,2,100.0,-10,50
940,MarJon Beauchamp,23,MIL,Paint (-Rest),8,19,42.1,-10,50
941,Marcus Morris Sr.,34,CLE,Paint (-Rest),18,44,40.9,-10,50
942,Marcus Sasser,23,DET,Paint (-Rest),55,120,45.8,-10,50
943,Marcus Smart,30,MEM,Paint (-Rest),32,57,56.1,-10,50
944,Mark Williams,22,CHA,Paint (-Rest),10,26,38.5,-10,50
945,Markelle Fultz,26,ORL,Paint (-Rest),42,101,41.6,-10,50
946,Markieff Morris,34,DAL,Paint (-Rest),3,7,42.9,-10,50
947,Marques Bolden,26,CHA,Paint (-Rest),6,9,66.7,-10,50
948,Marvin Bagley III,25,WAS,Paint (-Rest),42,93,45.2,-10,50
949,Mason Jones,25,SAC,Paint (-Rest),0,0,0.0,-10,50
950,Mason Plumlee,34,LAC,Paint (-Rest),16,37,43.2,-10,50
951,Matisse Thybulle,27,POR,Paint (-Rest),13,29,44.8,-10,50
952,Matt Hurt,24,MEM,Paint (-Rest),2,4,50.0,-10,50
953,Matt Ryan,27,NOP,Paint (-Rest),3,7,42.9,-10,50
954,Max Christie,21,LAL,Paint (-Rest),16,48,33.3,-10,50
955,Max Strus,28,CLE,Paint (-Rest),18,43,41.9,-10,50
956,Maxi Kleber,32,DAL,Paint (-Rest),5,15,33.3,-10,50
957,Maxwell Lewis,21,LAL,Paint (-Rest),0,2,0.0,-10,50
958,Micah Potter,26,UTA,Paint (-Rest),2,7,28.6,-10,50
959,Michael Porter Jr.,26,DEN,Paint (-Rest),42,100,42.0,-10,50
960,Mikal Bridges,27,BKN,Paint (-Rest),109,262,41.6,-10,50
961,Mike Conley,36,MIN,Paint (-Rest),47,116,40.5,-10,50
962,Mike Muscala,33,OKC,Paint (-Rest),6,15,40.0,-10,50
963,Miles Bridges,26,CHA,Paint (-Rest),81,204,39.7,-10,50
964,Miles McBride,23,NYK,Paint (-Rest),17,47,36.2,-10,50
965,Mitchell Robinson,26,NYK,Paint (-Rest),2,5,40.0,-10,50
966,Mo Bamba,26,PHI,Paint (-Rest),7,23,30.4,-10,50
967,Monte Morris,29,MIN,Paint (-Rest),9,29,31.0,-10,50
968,Moritz Wagner,27,ORL,Paint (-Rest),31,74,41.9,-10,50
969,Moses Brown,24,POR,Paint (-Rest),8,19,42.1,-10,50
970,Moses Moody,22,GSW,Paint (-Rest),39,85,45.9,-10,50
971,Mouhamadou Gueye,25,TOR,Paint (-Rest),2,12,16.7,-10,50
972,Mouhamed Gueye,21,ATL,Paint (-Rest),1,4,25.0,-10,50
973,Moussa Diabate,22,LAC,Paint (-Rest),1,3,33.3,-10,50
974,Myles Turner,28,IND,Paint (-Rest),97,199,48.7,-10,50
975,Maozinha Pereira,23,MEM,Paint (-Rest),1,4,25.0,-10,50
976,Naji Marshall,26,NOP,Paint (-Rest),45,93,48.4,-10,50
977,Nassir Little,24,PHX,Paint (-Rest),8,13,61.5,-10,50
978,Nate Hinton,25,HOU,Paint (-Rest),0,1,0.0,-10,50
979,Nate Williams,25,HOU,Paint (-Rest),3,15,20.0,-10,50
980,Nathan Mensah,26,CHA,Paint (-Rest),2,11,18.2,-10,50
981,Naz Reid,24,MIN,Paint (-Rest),75,180,41.7,-10,50
982,Neemias Queta,24,BOS,Paint (-Rest),10,28,35.7,-10,50
983,Nic Claxton,25,BKN,Paint (-Rest),68,165,41.2,-10,50
984,Nick Richards,26,CHA,Paint (-Rest),31,63,49.2,-10,50
985,Nick Smith Jr.,20,CHA,Paint (-Rest),22,53,41.5,-10,50
986,Nickeil Alexander-Walker,25,MIN,Paint (-Rest),27,64,42.2,-10,50
987,Nicolas Batum,35,PHI,Paint (-Rest),5,6,83.3,-10,50
988,Nikola Jokic,29,DEN,Paint (-Rest),330,535,61.7,-10,50
989,Nikola Jovic,21,MIA,Paint (-Rest),24,47,51.1,-10,50
990,Nikola Vucevic,33,CHI,Paint (-Rest),186,349,53.3,-10,50
991,Noah Clowney,19,BKN,Paint (-Rest),6,17,35.3,-10,50
992,Norman Powell,31,LAC,Paint (-Rest),68,155,43.9,-10,50
993,OG Anunoby,26,NYK,Paint (-Rest),20,66,30.3,-10,50
994,Obi Toppin,26,IND,Paint (-Rest),23,54,42.6,-10,50
995,Ochai Agbaji,24,TOR,Paint (-Rest),10,53,18.9,-10,50
996,Olivier Sarr,25,OKC,Paint (-Rest),0,1,0.0,-10,50
997,Olivier-Maxence Prosper,21,DAL,Paint (-Rest),0,10,0.0,-10,50
998,Omer Yurtseven,26,UTA,Paint (-Rest),40,77,51.9,-10,50
999,Onuralp Bitim,25,CHI,Paint (-Rest),4,12,33.3,-10,50
1000,Onyeka Okongwu,23,ATL,Paint (-Rest),30,66,45.5,-10,50
1001,Orlando Robinson,23,MIA,Paint (-Rest),9,20,45.0,-10,50
1002,Oscar Tshiebwe,24,IND,Paint (-Rest),4,7,57.1,-10,50
1003,Oshae Brissett,26,BOS,Paint (-Rest),10,27,37.0,-10,50
1004,Otto Porter Jr.,31,TOR,Paint (-Rest),0,0,0.0,-10,50
1005,Ousmane Dieng,21,OKC,Paint (-Rest),5,12,41.7,-10,50
1006,P.J. Tucker,39,LAC,Paint (-Rest),0,6,0.0,-10,50
1007,P.J. Washington,25,DAL,Paint (-Rest),82,179,45.8,-10,50
1008,Paolo Banchero,21,ORL,Paint (-Rest),118,302,39.1,-10,50
1009,Pascal Siakam,30,IND,Paint (-Rest),192,384,50.0,-10,50
1010,Pat Connaughton,31,MIL,Paint (-Rest),9,26,34.6,-10,50
1011,Pat Spencer,27,GSW,Paint (-Rest),1,1,100.0,-10,50
1012,Patrick Baldwin Jr.,21,WAS,Paint (-Rest),2,14,14.3,-10,50
1013,Patrick Beverley,35,MIL,Paint (-Rest),48,109,44.0,-10,50
1014,Patrick Williams,22,CHI,Paint (-Rest),18,53,34.0,-10,50
1015,Patty Mills,35,MIA,Paint (-Rest),3,14,21.4,-10,50
1016,Paul George,34,LAC,Paint (-Rest),75,161,46.6,-10,50
1017,Paul Reed,25,PHI,Paint (-Rest),48,115,41.7,-10,50
1018,Payton Pritchard,26,BOS,Paint (-Rest),26,68,38.2,-10,50
1019,Pete Nance,24,CLE,Paint (-Rest),0,2,0.0,-10,50
1020,Peyton Watson,21,DEN,Paint (-Rest),40,90,44.4,-10,50
1021,Precious Achiuwa,24,NYK,Paint (-Rest),27,84,32.1,-10,50
1022,Quentin Grimes,24,DET,Paint (-Rest),3,9,33.3,-10,50
1023,Quenton Jackson,25,IND,Paint (-Rest),0,0,0.0,-10,50
1024,R.J. Hampton,23,MIA,Paint (-Rest),1,1,100.0,-10,50
1025,RJ Barrett,24,TOR,Paint (-Rest),89,222,40.1,-10,50
1026,RaiQuan Gray,24,SAS,Paint (-Rest),3,3,100.0,-10,50
1027,Rayan Rupert,20,POR,Paint (-Rest),10,36,27.8,-10,50
1028,Reggie Bullock Jr.,33,HOU,Paint (-Rest),1,5,20.0,-10,50
1029,Reggie Jackson,34,DEN,Paint (-Rest),73,172,42.4,-10,50
1030,Richaun Holmes,30,WAS,Paint (-Rest),15,43,34.9,-10,50
1031,Ricky Council IV,22,PHI,Paint (-Rest),14,35,40.0,-10,50
1032,Robert Covington,33,PHI,Paint (-Rest),6,11,54.5,-10,50
1033,Robert Williams III,26,POR,Paint (-Rest),2,5,40.0,-10,50
1034,Robin Lopez,36,MIL,Paint (-Rest),5,11,45.5,-10,50
1035,Royce O'Neale,31,PHX,Paint (-Rest),13,42,31.0,-10,50
1036,Rudy Gobert,32,MIN,Paint (-Rest),26,88,29.5,-10,50
1037,Rui Hachimura,26,LAL,Paint (-Rest),50,123,40.7,-10,50
1038,Russell Westbrook,35,LAC,Paint (-Rest),44,122,36.1,-10,50
1039,Ryan Arcidiacono,30,NYK,Paint (-Rest),0,0,0.0,-10,50
1040,Ryan Rollins,21,MIL,Paint (-Rest),2,8,25.0,-10,50
1041,Saben Lee,25,PHX,Paint (-Rest),5,10,50.0,-10,50
1042,Saddiq Bey,25,ATL,Paint (-Rest),27,86,31.4,-10,50
1043,Sam Hauser,26,BOS,Paint (-Rest),14,28,50.0,-10,50
1044,Sam Merrill,28,CLE,Paint (-Rest),7,18,38.9,-10,50
1045,Sandro Mamukelashvili,25,SAS,Paint (-Rest),13,26,50.0,-10,50
1046,Santi Aldama,23,MEM,Paint (-Rest),41,91,45.1,-10,50
1047,Sasha Vezenkov,28,SAC,Paint (-Rest),7,25,28.0,-10,50
1048,Scoot Henderson,20,POR,Paint (-Rest),64,169,37.9,-10,50
1049,Scottie Barnes,22,TOR,Paint (-Rest),94,236,39.8,-10,50
1050,Scotty Pippen Jr.,23,MEM,Paint (-Rest),16,44,36.4,-10,50
1051,Seth Curry,33,CHA,Paint (-Rest),9,21,42.9,-10,50
1052,Seth Lundy,24,ATL,Paint (-Rest),0,2,0.0,-10,50
1053,Shaedon Sharpe,21,POR,Paint (-Rest),20,64,31.3,-10,50
1054,Shai Gilgeous-Alexander,25,OKC,Paint (-Rest),223,431,51.7,-10,50
1055,Shake Milton,27,NYK,Paint (-Rest),22,54,40.7,-10,50
1056,Sidy Cissoko,20,SAS,Paint (-Rest),3,5,60.0,-10,50
1057,Simone Fontecchio,28,DET,Paint (-Rest),30,74,40.5,-10,50
1058,Skylar Mays,26,LAL,Paint (-Rest),21,47,44.7,-10,50
1059,Spencer Dinwiddie,31,LAL,Paint (-Rest),47,120,39.2,-10,50
1060,Stanley Umude,25,DET,Paint (-Rest),4,12,33.3,-10,50
1061,Stephen Curry,36,GSW,Paint (-Rest),109,217,50.2,-10,50
1062,Svi Mykhailiuk,27,BOS,Paint (-Rest),2,6,33.3,-10,50
1063,T.J. McConnell,32,IND,Paint (-Rest),119,232,51.3,-10,50
1064,T.J. Warren,30,MIN,Paint (-Rest),3,9,33.3,-10,50
1065,Taj Gibson,39,DET,Paint (-Rest),2,6,33.3,-10,50
1066,Talen Horton-Tucker,23,UTA,Paint (-Rest),42,110,38.2,-10,50
1067,Tari Eason,23,HOU,Paint (-Rest),11,28,39.3,-10,50
1068,Taurean Prince,30,LAL,Paint (-Rest),37,87,42.5,-10,50
1069,Taylor Hendricks,20,UTA,Paint (-Rest),14,33,42.4,-10,50
1070,Taze Moore,26,POR,Paint (-Rest),0,2,0.0,-10,50
1071,Terance Mann,27,LAC,Paint (-Rest),42,88,47.7,-10,50
1072,Terquavion Smith,21,PHI,Paint (-Rest),0,2,0.0,-10,50
1073,Terry Rozier,30,MIA,Paint (-Rest),104,214,48.6,-10,50
1074,Terry Taylor,24,CHI,Paint (-Rest),2,4,50.0,-10,50
1075,Thaddeus Young,36,PHX,Paint (-Rest),17,30,56.7,-10,50
1076,Thanasis Antetokounmpo,31,MIL,Paint (-Rest),2,4,50.0,-10,50
1077,Theo Maledon,23,PHX,Paint (-Rest),7,17,41.2,-10,50
1078,Thomas Bryant,26,MIA,Paint (-Rest),17,33,51.5,-10,50
1079,Tim Hardaway Jr.,32,DAL,Paint (-Rest),35,93,37.6,-10,50
1080,Timmy Allen,24,MEM,Paint (-Rest),3,8,37.5,-10,50
1081,Tobias Harris,31,PHI,Paint (-Rest),117,255,45.9,-10,50
1082,Torrey Craig,33,CHI,Paint (-Rest),9,28,32.1,-10,50
1083,Tosan Evbuomwan,23,DET,Paint (-Rest),6,10,60.0,-10,50
1084,Toumani Camara,24,POR,Paint (-Rest),18,63,28.6,-10,50
1085,Trae Young,25,ATL,Paint (-Rest),119,265,44.9,-10,50
1086,Trayce Jackson-Davis,24,GSW,Paint (-Rest),26,60,43.3,-10,50
1087,Tre Jones,24,SAS,Paint (-Rest),65,145,44.8,-10,50
1088,Tre Mann,23,CHA,Paint (-Rest),32,65,49.2,-10,50
1089,Trendon Watford,23,BKN,Paint (-Rest),48,107,44.9,-10,50
1090,Trent Forrest,26,ATL,Paint (-Rest),16,51,31.4,-10,50
1091,Trevelin Queen,27,ORL,Paint (-Rest),1,4,25.0,-10,50
1092,Trey Jemison,24,MEM,Paint (-Rest),18,38,47.4,-10,50
1093,Trey Lyles,28,SAC,Paint (-Rest),8,19,42.1,-10,50
1094,Trey Murphy III,24,NOP,Paint (-Rest),27,62,43.5,-10,50
1095,Tristan Thompson,33,CLE,Paint (-Rest),17,32,53.1,-10,50
1096,Tristan Vukcevic,21,WAS,Paint (-Rest),5,8,62.5,-10,50
1097,Troy Brown Jr.,24,DET,Paint (-Rest),6,22,27.3,-10,50
1098,Ty Jerome,26,CLE,Paint (-Rest),0,0,0.0,-10,50
1099,TyTy Washington Jr.,22,MIL,Paint (-Rest),2,6,33.3,-10,50
1100,Tyler Herro,24,MIA,Paint (-Rest),97,187,51.9,-10,50
1101,Tyrese Haliburton,24,IND,Paint (-Rest),84,160,52.5,-10,50
1102,Tyrese Maxey,23,PHI,Paint (-Rest),125,310,40.3,-10,50
1103,Tyus Jones,28,WAS,Paint (-Rest),115,225,51.1,-10,50
1104,Udoka Azubuike,24,PHX,Paint (-Rest),1,5,20.0,-10,50
1105,Usman Garuba,22,GSW,Paint (-Rest),0,2,0.0,-10,50
1106,Vasilije Micic,30,CHA,Paint (-Rest),16,54,29.6,-10,50
1107,Victor Wembanyama,20,SAS,Paint (-Rest),82,206,39.8,-10,50
1108,Vince Williams Jr.,23,MEM,Paint (-Rest),19,51,37.3,-10,50
1109,Vit Krejci,24,ATL,Paint (-Rest),7,14,50.0,-10,50
1110,Walker Kessler,22,UTA,Paint (-Rest),17,46,37.0,-10,50
1111,Wendell Carter Jr.,25,ORL,Paint (-Rest),31,70,44.3,-10,50
1112,Wendell Moore Jr.,22,MIN,Paint (-Rest),4,6,66.7,-10,50
1113,Wenyen Gabriel,27,BOS,Paint (-Rest),1,3,33.3,-10,50
1114,Wesley Matthews,37,ATL,Paint (-Rest),4,9,44.4,-10,50
1115,Xavier Moon,29,LAC,Paint (-Rest),7,15,46.7,-10,50
1116,Xavier Tillman,25,BOS,Paint (-Rest),32,78,41.0,-10,50
1117,Yuta Watanabe,29,MEM,Paint (-Rest),5,11,45.5,-10,50
1118,Zach Collins,26,SAS,Paint (-Rest),83,178,46.6,-10,50
1119,Zach LaVine,29,CHI,Paint (-Rest),12,29,41.4,-10,50
1120,Zavier Simpson,27,DET,Paint (-Rest),3,16,18.8,-10,50
1121,Zeke Nnaji,23,DEN,Paint (-Rest),5,15,33.3,-10,50
1122,Ziaire Williams,22,MEM,Paint (-Rest),11,46,23.9,-10,50
1123,Zion Williamson,23,NOP,Paint (-Rest),129,338,38.2,-10,50
1124,A.J. Lawson,23,DAL,Mid Range,2,3,66.7,10,100
1125,AJ Green,24,MIL,Mid Range,8,16,50.0,10,100
1126,AJ Griffin,20,ATL,Mid Range,2,6,33.3,10,100
1127,Aaron Gordon,28,DEN,Mid Range,11,37,29.7,10,100
1128,Aaron Holiday,27,HOU,Mid Range,23,45,51.1,10,100
1129,Aaron Nesmith,24,IND,Mid Range,16,30,53.3,10,100
1130,Aaron Wiggins,25,OKC,Mid Range,3,16,18.8,10,100
1131,Adam Flagler,24,OKC,Mid Range,0,0,0.0,10,100
1132,Adama Sanogo,22,CHI,Mid Range,0,0,0.0,10,100
1133,Admiral Schofield,27,ORL,Mid Range,1,2,50.0,10,100
1134,Al Horford,38,BOS,Mid Range,7,14,50.0,10,100
1135,Alec Burks,32,NYK,Mid Range,29,87,33.3,10,100
1136,Aleksej Pokusevski,22,CHA,Mid Range,2,14,14.3,10,100
1137,Alex Caruso,30,CHI,Mid Range,9,24,37.5,10,100
1138,Alex Fudge,21,DAL,Mid Range,0,1,0.0,10,100
1139,Alex Len,31,SAC,Mid Range,2,3,66.7,10,100
1140,Alondes Williams,25,MIA,Mid Range,0,0,0.0,10,100
1141,Alperen Sengun,21,HOU,Mid Range,30,78,38.5,10,100
1142,Amari Bailey,20,CHA,Mid Range,1,4,25.0,10,100
1143,Amen Thompson,21,HOU,Mid Range,8,27,29.6,10,100
1144,Amir Coffey,27,LAC,Mid Range,10,33,30.3,10,100
1145,Andre Drummond,30,CHI,Mid Range,2,3,66.7,10,100
1146,Andre Jackson Jr.,22,MIL,Mid Range,4,4,100.0,10,100
1147,Andrew Funk,24,CHI,Mid Range,0,0,0.0,10,100
1148,Andrew Nembhard,24,IND,Mid Range,50,97,51.5,10,100
1149,Andrew Wiggins,29,GSW,Mid Range,45,119,37.8,10,100
1150,Anfernee Simons,25,POR,Mid Range,43,119,36.1,10,100
1151,Anthony Black,20,ORL,Mid Range,8,31,25.8,10,100
1152,Anthony Davis,31,LAL,Mid Range,86,221,38.9,10,100
1153,Anthony Edwards,22,MIN,Mid Range,105,299,35.1,10,100
1154,Anthony Gill,31,WAS,Mid Range,1,3,33.3,10,100
1155,Armoni Brooks,26,BKN,Mid Range,0,1,0.0,10,100
1156,Ashton Hagans,24,POR,Mid Range,0,1,0.0,10,100
1157,Ausar Thompson,21,DET,Mid Range,15,40,37.5,10,100
1158,Austin Reaves,26,LAL,Mid Range,50,114,43.9,10,100
1159,Ayo Dosunmu,24,CHI,Mid Range,26,58,44.8,10,100
1160,Bam Adebayo,26,MIA,Mid Range,65,189,34.4,10,100
1161,Ben Sheppard,22,IND,Mid Range,4,6,66.7,10,100
1162,Ben Simmons,27,BKN,Mid Range,0,2,0.0,10,100
1163,Bennedict Mathurin,22,IND,Mid Range,35,69,50.7,10,100
1164,Bilal Coulibaly,19,WAS,Mid Range,6,26,23.1,10,100
1165,Bismack Biyombo,31,OKC,Mid Range,0,1,0.0,10,100
1166,Blake Wesley,21,SAS,Mid Range,2,13,15.4,10,100
1167,Boban Marjanovic,35,HOU,Mid Range,1,4,25.0,10,100
1168,Bobby Portis,29,MIL,Mid Range,106,234,45.3,10,100
1169,Bogdan Bogdanovic,31,ATL,Mid Range,50,104,48.1,10,100
1170,Bojan Bogdanovic,35,NYK,Mid Range,52,118,44.1,10,100
1171,Bol Bol,24,PHX,Mid Range,10,24,41.7,10,100
1172,Bones Hyland,23,LAC,Mid Range,6,21,28.6,10,100
1173,Bradley Beal,31,PHX,Mid Range,62,144,43.1,10,100
1174,Brandin Podziemski,21,GSW,Mid Range,10,32,31.3,10,100
1175,Brandon Boston Jr.,22,LAC,Mid Range,12,31,38.7,10,100
1176,Brandon Clarke,27,MEM,Mid Range,3,7,42.9,10,100
1177,Brandon Ingram,26,NOP,Mid Range,168,348,48.3,10,100
1178,Brandon Miller,21,CHA,Mid Range,90,188,47.9,10,100
1179,Brandon Williams,24,DAL,Mid Range,4,7,57.1,10,100
1180,Braxton Key,27,DEN,Mid Range,1,1,100.0,10,100
1181,Brice Sensabaugh,20,UTA,Mid Range,12,26,46.2,10,100
1182,Brook Lopez,36,MIL,Mid Range,12,34,35.3,10,100
1183,Bruce Brown,27,TOR,Mid Range,25,59,42.4,10,100
1184,Bruno Fernando,25,ATL,Mid Range,0,3,0.0,10,100
1185,Bryce McGowens,21,CHA,Mid Range,7,18,38.9,10,100
1186,Buddy Boeheim,24,DET,Mid Range,1,2,50.0,10,100
1187,Buddy Hield,31,PHI,Mid Range,22,51,43.1,10,100
1188,CJ McCollum,32,NOP,Mid Range,58,129,45.0,10,100
1189,Cade Cunningham,22,DET,Mid Range,121,252,48.0,10,100
1190,Caleb Houstan,21,ORL,Mid Range,1,3,33.3,10,100
1191,Caleb Martin,28,MIA,Mid Range,25,71,35.2,10,100
