,Player,Age,Team,Shot Type,FGM,FGA,FG%,X Coordinate,Y Coordinate
539,Tyrese Haliburton,24,IND,Restricted Area,140,205,68.3,0,0
540,Tyrese Maxey,23,PHI,Restricted Area,249,392,63.5,0,0
541,Tyus Jones,28,WAS,Restricted Area,66,103,64.1,0,0
542,Udoka Azubuike,24,PHX,Restricted Area,15,18,83.3,0,0
543,Usman Garuba,22,GSW,Restricted Area,1,3,33.3,0,0
544,Vasilije Micic,30,CHA,Restricted Area,75,116,64.7,0,0
545,Victor Wembanyama,20,SAS,Restricted Area,277,396,69.9,0,0
546,Vince Williams Jr.,23,MEM,Restricted Area,68,104,65.4,0,0
547,Vit Krejci,24,ATL,Restricted Area,14,19,73.7,0,0
548,Walker Kessler,22,UTA,Restricted Area,208,282,73.8,0,0
549,Wendell Carter Jr.,25,ORL,Restricted Area,120,168,71.4,0,0
550,Wendell Moore Jr.,22,MIN,Restricted Area,4,4,100.0,0,0
551,Wenyen Gabriel,27,BOS,Restricted Area,6,13,46.2,0,0
552,Wesley Matthews,37,ATL,Restricted Area,5,13,38.5,0,0
553,Xavier Moon,29,LAC,Restricted Area,1,6,16.7,0,0
554,Xavier Tillman,25,BOS,Restricted Area,67,113,59.3,0,0
555,Yuta Watanabe,29,MEM,Restricted Area,9,13,69.2,0,0
556,Zach Collins,26,SAS,Restricted Area,138,205,67.3,0,0
557,Zach LaVine,29,CHI,Restricted Area,69,115,60.0,0,0
558,Zavier Simpson,27,DET,Restricted Area,6,14,42.9,0,0
559,Zeke Nnaji,23,DEN,Restricted Area,58,106,54.7,0,0
560,Ziaire Williams,22,MEM,Restricted Area,66,99,66.7,0,0
561,Zion Williamson,23,NOP,Restricted Area,486,721,67.4,0,0
562,A.J. Lawson,23,DAL,Paint (-Rest),1,15,6.7,-10,50
563,AJ Green,24,MIL,Paint (-Rest),0,4,0.0,-10,50
564,AJ Griffin,20,ATL,Paint (-Rest),3,12,25.0,-10,50
565,Aaron Gordon,28,DEN,Paint (-Rest),19,78,24.4,-10,50
566,Aaron Holiday,27,HOU,Paint (-Rest),33,84,39.3,-10,50
567,Aaron Nesmith,24,IND,Paint (-Rest),38,86,44.2,-10,50
568,Aaron Wiggins,25,OKC,Paint (-Rest),27,54,50.0,-10,50
569,Adam Flagler,24,OKC,Paint (-Rest),0,1,0.0,-10,50
570,Adama Sanogo,22,CHI,Paint (-Rest),2,7,28.6,-10,50
571,Admiral Schofield,27,ORL,Paint (-Rest),0,3,0.0,-10,50
572,Al Horford,38,BOS,Paint (-Rest),22,45,48.9,-10,50
573,Alec Burks,32,NYK,Paint (-Rest),29,87,33.3,-10,50
574,Aleksej Pokusevski,22,CHA,Paint (-Rest),5,19,26.3,-10,50
575,Alex Caruso,30,CHI,Paint (-Rest),27,57,47.4,-10,50
576,Alex Fudge,21,DAL,Paint (-Rest),2,4,50.0,-10,50
577,Alex Len,31,SAC,Paint (-Rest),12,27,44.4,-10,50
578,Alondes Williams,25,MIA,Paint (-Rest),0,2,0.0,-10,50
579,Alperen Sengun,21,HOU,Paint (-Rest),165,343,48.1,-10,50
580,Amari Bailey,20,CHA,Paint (-Rest),1,3,33.3,-10,50
581,Amen Thompson,21,HOU,Paint (-Rest),31,80,38.8,-10,50
582,Amir Coffey,27,LAC,Paint (-Rest),36,68,52.9,-10,50
583,Andre Drummond,30,CHI,Paint (-Rest),40,101,39.6,-10,50
584,Andre Jackson Jr.,22,MIL,Paint (-Rest),8,19,42.1,-10,50
585,Andrew Funk,24,CHI,Paint (-Rest),0,1,0.0,-10,50
586,Andrew Nembhard,24,IND,Paint (-Rest),61,129,47.3,-10,50
587,Andrew Wiggins,29,GSW,Paint (-Rest),88,201,43.8,-10,50
588,Anfernee Simons,25,POR,Paint (-Rest),67,150,44.7,-10,50
589,Anthony Black,20,ORL,Paint (-Rest),10,30,33.3,-10,50
590,Anthony Davis,31,LAL,Paint (-Rest),164,379,43.3,-10,50
591,Anthony Edwards,22,MIN,Paint (-Rest),131,304,43.1,-10,50
592,Anthony Gill,31,WAS,Paint (-Rest),16,42,38.1,-10,50
593,Armoni Brooks,26,BKN,Paint (-Rest),3,6,50.0,-10,50
594,Ashton Hagans,24,POR,Paint (-Rest),5,19,26.3,-10,50
595,Ausar Thompson,21,DET,Paint (-Rest),42,92,45.7,-10,50
596,Austin Reaves,26,LAL,Paint (-Rest),93,191,48.7,-10,50
597,Ayo Dosunmu,24,CHI,Paint (-Rest),46,99,46.5,-10,50
598,Bam Adebayo,26,MIA,Paint (-Rest),237,473,50.1,-10,50
599,Ben Sheppard,22,IND,Paint (-Rest),4,17,23.5,-10,50
600,Ben Simmons,27,BKN,Paint (-Rest),5,18,27.8,-10,50
601,Bennedict Mathurin,22,IND,Paint (-Rest),56,145,38.6,-10,50
602,Bilal Coulibaly,19,WAS,Paint (-Rest),15,58,25.9,-10,50
603,Bismack Biyombo,31,OKC,Paint (-Rest),25,57,43.9,-10,50
604,Blake Wesley,21,SAS,Paint (-Rest),23,37,62.2,-10,50
605,Boban Marjanovic,35,HOU,Paint (-Rest),4,12,33.3,-10,50
606,Bobby Portis,29,MIL,Paint (-Rest),106,210,50.5,-10,50
607,Bogdan Bogdanovic,31,ATL,Paint (-Rest),86,177,48.6,-10,50
608,Bojan Bogdanovic,35,NYK,Paint (-Rest),57,115,49.6,-10,50
609,Bol Bol,24,PHX,Paint (-Rest),32,43,74.4,-10,50
610,Bones Hyland,23,LAC,Paint (-Rest),18,45,40.0,-10,50
611,Bradley Beal,31,PHX,Paint (-Rest),70,149,47.0,-10,50
612,Brandin Podziemski,21,GSW,Paint (-Rest),77,191,40.3,-10,50
613,Brandon Boston Jr.,22,LAC,Paint (-Rest),14,36,38.9,-10,50
614,Brandon Clarke,27,MEM,Paint (-Rest),18,28,64.3,-10,50
615,Brandon Ingram,26,NOP,Paint (-Rest),117,248,47.2,-10,50
616,Brandon Miller,21,CHA,Paint (-Rest),87,219,39.7,-10,50
617,Brandon Williams,24,DAL,Paint (-Rest),2,12,16.7,-10,50
618,Braxton Key,27,DEN,Paint (-Rest),0,2,0.0,-10,50
